review,study_label,year,sample_size,citations_per_year,citation_count,is_open_access,recalled_by_claude,recalled_by_gemini,recalled_by_gpt,recall_pattern,recalled_by_patient,recalled_by_clinician,recalled_by_researcher,role_recall_pattern,design_raw,design_category
CD010051,Sall 2000,2000,585,15.85,412,0,1,1,1,All three,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD010051,Sall 2006,2006,,3.05,61,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD010051,Schrell 2012,2012,62,0.71,10,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD010051,Shen 2020,2020,120,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD010051,Sheppard 2021,2021,328,9.8,49,1,1,0,1,Claude+GPT,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD010051,Shin 2021,2021,50,2.2,11,0,1,0,0,Claude only,0,0,1,Researcher only,Cochrane-included study cluster,cluster-randomized
CD010051,Stevenson 2000,2000,97,6.54,170,0,1,1,1,All three,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD010051,Tauber 2018,2018,304,7.88,63,1,1,1,1,All three,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD010051,Willen 2008,2008,44,2.67,48,0,1,0,1,Claude+GPT,0,1,1,Clinician+Researcher,Cochrane-included study cluster,cluster-randomized
CD010051,Wirta 2019,2019,104,11.29,79,1,1,0,1,Claude+GPT,1,1,1,All three,Cochrane-included study cluster,cluster-randomized
CD010051,Wu 2009,2009,,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD010051,Xu 2023,2023,188,2.67,8,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD010461,Esfahani 2016,2016,203,,,,1,0,1,Claude+GPT,1,1,1,All three,double-blind RCT,parallel-group RCT (or unspecified RCT)
CD010461,Miller 2019,2019,2772,15.43,108,1,1,1,1,All three,1,1,1,All three,multicenter RCT,parallel-group RCT (or unspecified RCT)
CD010461,Parmegiani 2012a,2012,100,4.86,68,1,1,0,0,Claude only,1,0,0,Patient only,RCT,parallel-group RCT (or unspecified RCT)
CD010461,Worrilow 2013,2013,555,10.92,142,1,1,0,1,Claude+GPT,1,1,1,All three,multicenter RCT,parallel-group RCT (or unspecified RCT)
CD010461,Yetkinel 2019,2019,122,9.0,63,1,1,1,1,All three,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD012161,Dreyer 2005,2005,672,3.9,82,0,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012161,Ferguson 2001,2001,,2.08,52,1,0,1,1,Gemini+GPT,1,1,1,All three,randomized crossover trial,crossover RCT
CD012161,Home 2000,2000,1065,9.42,245,0,1,1,1,All three,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012161,Iwamoto 2001,2001,205,,,,0,0,1,GPT only,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012161,Kawamori 2009,2009,267,1.35,23,0,0,0,1,GPT only,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012161,Ma 2024,2024,354,7.5,15,1,0,0,1,GPT only,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012161,ONSET 1,,766,,163,1,1,1,1,All three,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012161,ONSET 8,,684,,50,1,1,1,1,All three,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012161,PRONTO-T1DM,,893,,78,1,1,1,1,All three,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012161,Provenzano 2001,2001,12,0.8,20,0,0,0,1,GPT only,1,1,1,All three,randomized crossover trial,crossover RCT
CD012161,Raskin 2000,2000,882,9.65,251,1,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012161,Recasens 2003,2003,45,1.26,29,0,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012161,Z011 2007,2007,167,5.42,103,0,1,1,1,All three,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012161,Z013 2007,2007,169,5.42,103,0,1,1,1,All three,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012161,Z015 2007,2007,98,5.42,103,0,0,1,1,Gemini+GPT,1,0,1,Patient+Researcher,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Allez 2023 (TRIDENT- Part 1),2023,145,2.33,7,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,Allez 2023 (TRIDENT- Part 2),2023,196,2.33,7,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,Buhl 2022 (STOP-IT),2022,115,6.5,26,0,1,0,0,Claude only,1,1,0,Patient+Clinician,randomized withdrawal trial,parallel-group RCT (or unspecified RCT)
CD012751,Chen 2020,2020,205,4.33,26,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,Chen 2025,2025,215,5.0,5,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,Colombel 2007 (CHARM) - Induction (non-responders),2007,,120.74,2294,0,1,1,1,All three,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Colombel 2007 (CHARM) - Maintenance (responders),2007,499,120.74,2294,0,1,1,1,All three,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Colombel 2010 (SONIC),2010,339,186.62,2986,1,1,1,1,All three,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Colombel 2023 - LIBERTY-CD,,325,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,D'Haens 1999 (refractory CD),1999,,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,D'Haens 2008,2008,133,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,D'Haens 2022 (ADVANCE),2022,1117,,,,1,1,1,All three,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Duan 2013,2013,16,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,Feagan 2008c,2008,185,16.28,293,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,Feagan 2015a (UNITI-1),2015,741,132.45,1457,1,1,1,1,All three,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Feagan 2015b(UNITI-2),2016,628,145.7,1457,1,1,1,1,All three,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Feagan 2015c (IM-UNITI),2015,397,18.18,200,1,1,1,1,All three,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Feagan 2017,2017,121,45.11,406,1,0,0,1,GPT only,0,0,1,Researcher only,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Ferrante 2022 - FORTIFY,2022,843,62.5,250,1,1,1,1,All three,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Ferrante 2024 (VIVID-1),,,,81,1,1,1,1,All three,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Ghosh 2003,2003,248,33.39,768,1,1,0,0,Claude only,1,0,0,Patient only,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Gordon 2001,2001,30,3.16,79,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,Hanauer 2002 (ACCENT I) - Induction (non-response),2002,,41.54,997,0,1,1,1,All three,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Hanauer 2002 (ACCENT I) - Maintenence (Responders),2002,335,10.54,253,0,1,1,1,All three,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Hanauer 2006 (CLASSIC I),2006,300,86.45,1729,1,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Hanauer 2021 (VOLTAIRE-CD),2021,147,7.8,39,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,Hart 2025 (GRAVITI),,350,,36,1,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Jairath 2025 (RELIEVE UCCD),2019,,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,Jorgensen 2017 (NORSWITCH),2017,155,12.67,114,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,Lemann 2006,2006,115,19.3,386,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,Loftus 2023 (U-ENDURE),2023,502,102.33,307,1,1,1,1,All three,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Loftus 2023 (U-EXCEED),2023,495,102.33,307,1,1,1,1,All three,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Loftus 2023 (U-EXCEL),2023,526,102.33,307,1,1,1,1,All three,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Louis 2023 - SPARE,2023,142,24.33,73,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,Matsumoto 2016 (DIAMOND),2016,,21.3,213,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,Panaccione 2022 (MOTIVATE),2022,569,,,,1,1,1,All three,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Panaccione 2024 (GALAXI-2),2025,374,27.0,27,1,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Panaccione 2024 (GALAXI-3),2025,375,27.0,27,1,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Panes 2017 Induction,2017,280,37.78,340,1,0,0,1,GPT only,0,0,1,Researcher only,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Panes 2017 Maintenance,2017,180,37.78,340,1,0,0,1,GPT only,0,0,1,Researcher only,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Peyrin-Biroulet 2024 - SEQUENCE,2024,265,,,,1,1,1,All three,1,1,1,All three,randomized active-comparator trial,parallel-group RCT (or unspecified RCT)
CD012751,Present 1999,1999,94,94.96,2564,1,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Röder 2021,2021,121,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,Rutgeerts 1999,1999,73,40.74,1100,1,0,0,1,GPT only,0,0,1,Researcher only,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Rutgeerts 2006,2006,207,3.35,67,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,Rutgeerts 2012 (EXTEND),2012,129,40.14,562,1,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Sandborn 2001a,2001,169,9.84,246,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,Sandborn 2001b,2001,43,38.0,950,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,Sandborn 2005a (ENACT 1),2005,905,43.95,923,1,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Sandborn 2005a (ENACT 2),2005,428,43.95,923,1,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Sandborn 2007a,2007,325,0.0,0,1,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Sandborn 2007b (CLASSIC II),2007,55,53.0,1007,1,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Sandborn 2007c (PRECISE 1),2007,662,3.68,70,1,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Sandborn 2008 (Population 1),2008,104,43.0,774,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,Sandborn 2011,2011,439,10.47,157,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,Sandborn 2012 (CERTIFI) - Induction,2012,526,77.0,1078,1,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Sandborn 2012 (CERTIFI) - Induction (non-response),2012,219,77.0,1078,1,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Sandborn 2012 (CERTIFI) - Maintenance,2012,145,77.0,1078,1,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Sandborn 2013 (GEMINI II) - Induction,2013,368,160.62,2088,1,1,1,1,All three,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Sandborn 2013 (GEMINI II) - Maintenance,2013,461,160.62,2088,1,1,1,1,All three,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Sandborn 2014,2017,139,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,Sandborn 2020d (CELEST) - Induction,2020,220,46.67,280,1,0,0,1,GPT only,0,0,1,Researcher only,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Sandborn 2022 - GALAXI 1,2022,288,42.75,171,1,1,1,1,All three,0,0,1,Researcher only,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Sandborn 2023 - BERGAMOT (cohort 1),2023,300,26.67,80,1,0,0,1,GPT only,0,0,1,Researcher only,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Sandborn 2023 - BERGAMOT (cohort 3),2023,385,14.33,43,0,0,0,1,GPT only,0,0,1,Researcher only,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Sandborn 2023 - BERGAMOT Maintenance,2023,434,14.33,43,0,0,0,1,GPT only,0,0,1,Researcher only,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Sands 2004 (ACCENT II) Induction (Non-responders),2004,87,99.82,2196,1,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Sands 2004 (ACCENT II) Maintenance (Responders),2004,195,99.82,2196,1,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Sands 2007,2007,79,10.21,194,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,Sands 2010,2010,220,6.5,104,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,Sands 2014 (GEMINI III),2014,416,57.75,693,1,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Sands 2022 (SEAVUE),2022,386,53.75,215,1,1,1,1,All three,1,1,1,All three,randomized active-comparator trial,parallel-group RCT (or unspecified RCT)
CD012751,Sands 2022 (SERENITY),2022,191,31.0,124,1,0,0,1,GPT only,0,0,1,Researcher only,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Schreiber 2005,2005,292,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,Schreiber 2007 (PRECISE 2),2007,428,12.37,235,0,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Schreiber 2018a,2018,187,5.0,40,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,Targan 1997,1997,108,6.38,185,1,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Targan 2007 (ENCORE),2007,509,33.26,632,0,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,VanAssche 2012 (SWITCH),2012,73,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,Vermeire 2017 FITZROY  - induction,2017,174,40.11,361,0,0,0,1,GPT only,0,0,1,Researcher only,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Vermeire 2017 FITZROY - induction non-responders,2017,,40.11,361,0,0,0,1,GPT only,0,0,1,Researcher only,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Vermeire 2017 FITZROY - maintenance responders,2017,,40.11,361,0,0,0,1,GPT only,0,0,1,Researcher only,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Vermeire 2021 (VISIBLE 2),2021,410,28.6,143,1,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Vermeire 2025 - DIVERSITY (maintenance),2025,335,12.0,12,1,0,0,1,GPT only,0,1,1,Clinician+Researcher,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Vermeire 2025 - DIVERSITY A,2025,707,12.0,12,1,0,0,1,GPT only,0,1,1,Clinician+Researcher,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Vermeire 2025 - DIVERSITY B,2025,665,12.0,12,1,0,0,1,GPT only,0,1,1,Clinician+Researcher,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Volkers 2017 - SIMILAR,2022,,9.0,36,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,Watanabe 2012 - Induction,2012,90,9.14,128,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,Watanabe 2012 - Maintenance,2012,50,9.14,128,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,Watanabe 2020 - Induction,2020,157,7.5,45,1,1,0,0,Claude only,0,0,1,Researcher only,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Watanabe 2020 - Maintenance,2020,24,7.5,45,1,1,0,0,Claude only,0,0,1,Researcher only,randomized controlled trial,parallel-group RCT (or unspecified RCT)
CD012751,Winter 2004,2004,92,5.77,127,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,Ye 2019,2019,220,24.43,171,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD012751,Young 2024 - iBaSS,2024,,1.5,3,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD013776,Babjuk 2005,2005,122,6.29,132,0,1,0,1,Claude+GPT,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD013776,Drăgoescu 2017,2017,113,3.56,32,0,0,0,1,GPT only,1,1,1,All three,parallel-group RCT,parallel-group RCT (or unspecified RCT)
CD013776,Filbeck 2002,2002,191,11.29,271,0,1,0,1,Claude+GPT,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD013776,Geavlete 2010,2010,136,3.94,63,0,1,1,1,All three,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD013776,Geavlete 2012,2012,239,8.07,113,0,1,0,1,Claude+GPT,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD013776,Gkritsios 2014,2014,85,2.67,32,0,1,0,1,Claude+GPT,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD013776,Heer 2022,2022,426,13.25,53,1,1,1,1,All three,1,1,1,All three,pragmatic multicenter RCT,parallel-group RCT (or unspecified RCT)
CD013776,Hermann 2011,2011,145,10.4,156,1,1,0,1,Claude+GPT,1,1,1,All three,two-center RCT,parallel-group RCT (or unspecified RCT)
CD013776,Karaolides 2012,2012,86,3.64,51,0,1,0,1,Claude+GPT,0,1,1,Clinician+Researcher,RCT,parallel-group RCT (or unspecified RCT)
CD013776,Kriegmaier 2002,2002,,5.54,133,0,0,0,1,GPT only,0,1,1,Clinician+Researcher,multicenter phase III RCT,parallel-group RCT (or unspecified RCT)
CD013776,Neuzillet 2014,2014,151,2.58,31,0,0,0,1,GPT only,0,0,1,Researcher only,bicenter RCT,parallel-group RCT (or unspecified RCT)
CD013776,O’Brien 2013,2013,93,6.0,78,0,1,0,1,Claude+GPT,1,1,1,All three,single-center RCT,parallel-group RCT (or unspecified RCT)
CD013776,Riedl 2001,2001,102,0.12,3,0,1,0,1,Claude+GPT,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD013776,Rolevich 2017,2017,525,3.56,32,0,0,0,1,GPT only,1,1,1,All three,factorial RCT,parallel-group RCT (or unspecified RCT)
CD013776,Schumacher 2010,2010,279,7.81,125,0,1,0,1,Claude+GPT,1,1,1,All three,multicenter RCT,parallel-group RCT (or unspecified RCT)
CD013776,Stenzl 2010,2010,726,19.12,306,1,1,1,1,All three,1,1,1,All three,international multicenter RCT,parallel-group RCT (or unspecified RCT)
CD013776,Stenzl 2011,2011,370,5.67,85,0,1,0,1,Claude+GPT,1,1,1,All three,double-blind placebo-controlled RCT,parallel-group RCT (or unspecified RCT)
CD015136,Alsabbagh 2012,2012,94,1.79,25,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD015136,Bosworth 2018,2018,371,4.62,37,0,0,0,1,GPT only,0,0,1,Researcher only,RCT,parallel-group RCT (or unspecified RCT)
CD015136,Bynum 2001,2001,36,5.32,133,0,1,0,0,Claude only,0,0,1,Researcher only,RCT,parallel-group RCT (or unspecified RCT)
CD015136,Gautier 2021,2021,77,5.0,25,0,0,0,1,GPT only,0,1,1,Clinician+Researcher,randomized comparative study,parallel-group RCT (or unspecified RCT)
CD015136,Gonzales 2021,2021,,6.8,34,1,0,0,1,GPT only,0,1,1,Clinician+Researcher,RCT,parallel-group RCT (or unspecified RCT)
CD015136,Hoda 2023,2023,97,,,,0,0,1,GPT only,0,0,1,Researcher only,RCT,parallel-group RCT (or unspecified RCT)
CD015136,Hussain 2024,2024,,,,,0,0,1,GPT only,0,0,1,Researcher only,RCT,parallel-group RCT (or unspecified RCT)
CD015136,Ibrahim 2022,2022,233,3.0,12,1,1,1,1,All three,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD015136,Ihekoronye 2024,2024,301,,,,1,0,1,Claude+GPT,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD015136,Kosse 2019,2019,234,21.29,149,1,0,0,1,GPT only,0,1,1,Clinician+Researcher,cluster RCT,cluster-randomized
CD015136,Lauffenburger 2019,2019,1362,6.43,45,1,0,0,1,GPT only,1,1,1,All three,pragmatic RCT,parallel-group RCT (or unspecified RCT)
CD015136,Margolis 2013,2013,370,41.77,543,1,1,1,1,All three,1,1,1,All three,cluster RCT,cluster-randomized
CD015136,Mozu 2023,2023,116,2.0,6,1,1,1,1,All three,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD015136,Odegard 2012,2012,,3.07,43,0,1,1,1,All three,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD015136,Powers 1983,1983,16,0.3,13,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD015136,Salmany 2018,2018,332,2.38,19,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD015136,Sarayani 2018,2018,94,8.38,67,0,1,0,1,Claude+GPT,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD015136,Scala 2018,2018,164,3.5,28,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD015136,Shdaifat 2022,2022,84,5.75,23,0,0,0,1,GPT only,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD015136,Sudas Na Ayutthaya 2018,2018,50,2.12,17,1,1,0,1,Claude+GPT,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD015136,Young 2012,2012,,4.36,61,1,1,1,1,All three,1,1,1,All three,pilot RCT,parallel-group RCT (or unspecified RCT)
CD015156,Alfaro-Santafa 2021,2021,208,,,,1,1,1,All three,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD015156,James 2016,2016,124,3.5,35,0,1,1,1,All three,1,1,1,All three,factorial RCT,parallel-group RCT (or unspecified RCT)
CD015156,Kuyucu 2017,2017,22,1.44,13,1,1,1,1,All three,1,1,1,All three,sham-controlled RCT,parallel-group RCT (or unspecified RCT)
CD015156,Nakase 2020,2020,43,2.83,17,0,1,1,1,All three,1,1,1,All three,double-blind RCT,parallel-group RCT (or unspecified RCT)
CD015156,Perhamre 2011a,2011,44,2.87,43,0,1,1,1,All three,1,1,1,All three,randomized crossover trial,crossover RCT
CD015156,Perhamre 2012,2012,30,2.57,36,0,1,1,1,All three,1,1,1,All three,comparative mechanistic study,other / comparative mechanistic study
CD015156,Reesman 2024,,31,,,,1,0,1,Claude+GPT,1,1,1,All three,terminated three-arm RCT,parallel-group RCT (or unspecified RCT)
CD015156,Sweeney 2023,2023,43,1.67,5,1,1,1,1,All three,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD015156,Topol 2011,2011,43,5.0,75,1,1,1,1,All three,1,1,1,All three,randomized comparative trial,parallel-group RCT (or unspecified RCT)
CD015156,Wiegerinck 2016,2016,66,3.4,34,0,1,1,1,All three,1,1,1,All three,three-arm pragmatic RCT,parallel-group RCT (or unspecified RCT)
CD015186,Arimura 2023,2023,58,,,,1,0,1,Claude+GPT,1,1,1,All three,randomized clinical trial,parallel-group RCT (or unspecified RCT)
CD015186,Babighian 2010,2010,30,4.75,76,0,0,0,1,GPT only,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD015186,Falkenberry 2020,2020,166,11.67,70,0,1,1,1,All three,0,1,1,Clinician+Researcher,RCT,parallel-group RCT (or unspecified RCT)
CD015186,Goldberg 2024,2024,72,,,,1,0,1,Claude+GPT,0,1,1,Clinician+Researcher,RCT,parallel-group RCT (or unspecified RCT)
CD015186,Kicinska 2023,2023,48,4.33,13,1,0,0,1,GPT only,0,1,1,Clinician+Researcher,randomized trial,parallel-group RCT (or unspecified RCT)
CD015186,Maheshwari 2023,2024,114,11.5,23,0,0,0,1,GPT only,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD015186,Quaranta 1999,1999,32,0.89,24,0,0,0,1,GPT only,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD015186,Sato 2018,2018,18,3.0,24,1,0,0,1,GPT only,1,1,1,All three,pilot RCT,parallel-group RCT (or unspecified RCT)
CD015186,Ting 2018,2018,18,4.0,32,0,1,0,1,Claude+GPT,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD015186,Yin 2024,2024,77,9.0,18,0,1,0,1,Claude+GPT,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
