review,study_label,cochrane_year,resolved_pmids,resolution_methods,matched_pmid_count,citation_count,citation_count_pmid,is_open_access,citations_per_year
CD012751,Vermeire 2025 - DIVERSITY (maintenance),2025,39637881,ris_citation_search,1,12,39637881,1,12.0
CD012751,Vermeire 2025 - DIVERSITY A,2025,39637881,ris_citation_search,1,12,39637881,1,12.0
CD012751,Vermeire 2025 - DIVERSITY B,2025,39637881,ris_citation_search,1,12,39637881,1,12.0
CD012751,Volkers 2017 - SIMILAR,2022,34013959,ris_citation_search,1,36,34013959,1,9.0
CD012751,Watanabe 2012 - Induction,2012,22325170,ris_citation_search,1,128,22325170,1,9.14
CD012751,Watanabe 2012 - Maintenance,2012,22325170,ris_citation_search,1,128,22325170,1,9.14
CD012751,Watanabe 2020 - Induction,2020,31836930,ris_citation_search,1,45,31836930,1,7.5
CD012751,Watanabe 2020 - Maintenance,2020,31836930,ris_citation_search,1,45,31836930,1,7.5
CD012751,Winter 2004,2004,15606396,ris_citation_search,1,127,15606396,1,5.77
CD012751,Ye 2019,2019,30929895,ris_citation_search,1,171,30929895,1,24.43
CD012751,Young 2024 - iBaSS,2024,38734866,ris_citation_search,1,3,38734866,0,1.5
CD013776,Babjuk 2005,2005,16153204;16277179,ris_citation_search,2,132,16153204,0,6.29
CD013776,Drăgoescu 2017,2017,29556618;21424043,ris_citation_search,2,32,21424043,0,3.56
CD013776,Filbeck 2002,2002,12050494;17986289;20689609;17445650,ris_citation_search;ris_doi_search,4,271,17445650,0,11.29
CD013776,Geavlete 2010,2010,20627289,ris_doi_search;ris_citation_search,1,63,20627289,0,3.94
CD013776,Geavlete 2012,2012,21711438,ris_doi_search,1,113,21711438,0,8.07
CD013776,Gkritsios 2014,2014,24249423,ris_doi_search,1,32,24249423,0,2.67
CD013776,Heer 2022,2022,38319866;31481549;36300825;37441343,ris_doi_search;ris_citation_search,4,53,38319866,1,13.25
CD013776,Hermann 2011,2011,21414125,ris_doi_search,1,156,21414125,1,10.4
CD013776,Karaolides 2012,2012,22857752,ris_doi_search,1,51,22857752,0,3.64
CD013776,Kriegmaier 2002,2002,12131291,ris_citation_search,1,133,12131291,0,5.54
CD013776,Neuzillet 2014,2014,25023786,ris_doi_search,1,31,25023786,0,2.58
CD013776,O’Brien 2013,2013,24053153,ris_doi_search,1,78,24053153,0,6.0
CD013776,Riedl 2001,2001,11257651;15526230,ris_citation_search,2,3,15526230,0,0.12
CD013776,Rolevich 2017,2017,27604374;32015903,ris_doi_search,2,32,27604374,0,3.56
CD013776,Schumacher 2010,2010,19913351,ris_doi_search,1,125,19913351,0,7.81
CD013776,Stenzl 2010,2010,20850152;22583635;27376146,ris_doi_search;ris_citation_search,3,306,20850152,1,19.12
CD013776,Stenzl 2011,2011,21351082,ris_doi_search,1,85,21351082,0,5.67
CD015136,Alsabbagh 2012,2012,23143689,ris_doi_search,1,25,23143689,0,1.79
CD015136,Bosworth 2018,2018,29754649;24303930;23537965,ris_doi_search,3,37,29754649,0,4.62
CD015136,Bynum 2001,2001,11564356,ris_doi_search,1,133,11564356,0,5.32
CD015136,Gautier 2021,2021,33750593,ris_doi_search,1,25,33750593,0,5.0
CD015136,Gonzales 2021,2021,33931415;33821958;29500161;34496669;34197699,ris_doi_search,5,34,33821958,1,6.8
CD015136,Hoda 2023,2023,,,0,,,,
CD015136,Hussain 2024,2024,,,0,,,,
CD015136,Ibrahim 2022,2022,36793920,ris_doi_search,1,12,36793920,1,3.0
CD015136,Ihekoronye 2024,2024,,,0,,,,
CD015136,Kosse 2019,2019,30803885;27022988;28356720,ris_doi_search,3,149,30803885,1,21.29
CD015136,Lauffenburger 2019,2019,30939143;28571997;31429168,ris_doi_search,3,45,30939143,1,6.43
CD015136,Margolis 2013,2013,23821088;23031143;30320302;32862713;22498720;30646139,ris_doi_search,6,543,23821088,1,41.77
CD015136,Mozu 2023,2023,38145235,ris_doi_search,1,6,38145235,1,2.0
CD015136,Odegard 2012,2012,23229961,ris_doi_search,1,43,23229961,0,3.07
CD015136,Powers 1983,1983,6624755,ris_citation_search,1,13,6624755,0,0.3
CD015136,Salmany 2018,2018,28509614,ris_doi_search,1,19,28509614,0,2.38
CD015136,Sarayani 2018,2018,29435911,ris_doi_search,1,67,29435911,0,8.38
CD015136,Scala 2018,2018,29249596,ris_doi_search,1,28,29249596,0,3.5
CD015136,Shdaifat 2022,2022,33941032,ris_doi_search,1,23,33941032,0,5.75
CD015136,Sudas Na Ayutthaya 2018,2018,30158972,ris_doi_search,1,17,30158972,1,2.12
CD015136,Young 2012,2012,22656403;23864987,ris_doi_search,2,61,22656403,1,4.36
CD015156,Alfaro-Santafa 2021,2021,,,0,,,,
CD015156,James 2016,2016,26917682,ris_citation_search,1,35,26917682,0,3.5
CD015156,Kuyucu 2017,2017,28985751,ris_citation_search,1,13,28985751,1,1.44
CD015156,Nakase 2020,2020,31713082,ris_doi_search,1,17,31713082,0,2.83
CD015156,Perhamre 2011a,2011,20673253,ris_citation_search,1,43,20673253,0,2.87
CD015156,Perhamre 2012,2012,21410537,ris_doi_search,1,36,21410537,0,2.57
CD015156,Reesman 2024,,,,0,,,,
CD015156,Sweeney 2023,2023,36094612;35234743,ris_citation_search;ris_doi_search,2,5,36094612,1,1.67
CD015156,Topol 2011,2011,21969284,ris_citation_search,1,75,21969284,1,5.0
CD015156,Wiegerinck 2016,2016,25985369,ris_citation_search,1,34,25985369,0,3.4
CD015186,Arimura 2023,2023,,,0,,,,
CD015186,Babighian 2010,2010,19590523,ris_citation_search,1,76,19590523,0,4.75
CD015186,Falkenberry 2020,2020,32358417,ris_citation_search,1,70,32358417,0,11.67
CD015186,Goldberg 2024,2024,39429442,ris_citation_search,1,,,,
CD015186,Kicinska 2023,2023,37892612;31377849;36362728,ris_citation_search,3,13,36362728,1,4.33
CD015186,Maheshwari 2023,2024,37839794,ris_citation_search,1,23,37839794,0,11.5
CD015186,Quaranta 1999,1999,10406622,ris_citation_search,1,24,10406622,0,0.89
CD015186,Sato 2018,2018,30560205,ris_citation_search,1,24,30560205,1,3.0
CD015186,Ting 2018,2018,30502982,ris_citation_search,1,32,30502982,0,4.0
CD015186,Yin 2024,2024,37311600,ris_citation_search,1,18,37311600,0,9.0
CD015264,Areekul 1979,1979,483012,ris_citation_search,1,3,483012,0,0.06
CD015264,Benjamin 1952,1952,,,0,,,,
CD015264,Chinnock 1952,1952,14908819,ris_doi_search,1,9,14908819,0,0.12
CD015264,Craigmile 1956,1956,13321872,ris_citation_search,1,1,13321872,0,0.01
CD015264,Deshmukh 2010,2010,20216560;29135286,ris_doi_search,2,54,20216560,1,3.38
CD015264,Fukui 1959,1959,,,0,,,,
CD015264,Gutiérrez-Diaz 1959,1959,,,0,,,,
CD015264,Kudo 1962,1962,14460200;13858893,ris_doi_search,2,2,14460200,1,0.03
CD015264,Murakami 1962,1962,,,0,,,,
CD015264,Scaglione 1955,1955,,,0,,,,
CD015264,Scrimshaw 1953,1953,13066565;14376358,ris_citation_search;ris_doi_search,2,9,14376358,1,0.12
CD015264,Scrimshaw 1959,1959,13637019,ris_doi_search,1,12,13637019,1,0.18
CD015264,Shimazono 1963,1963,14066706,ris_doi_search,1,1,14066706,1,0.02
CD015264,Strand 2020,2020,33259482;31105521;37918674;34999324;30087639;34569123;28431557;35152918,ris_doi_search,8,50,30087639,1,8.33
CD015264,Taneja 2013,2013,23902779;28923060;28273084;30153581;26098427;32019814;25802345;27486122;29472265;35876047,ris_doi_search,10,64,25802345,1,4.92
CD015264,Yajnik 2021,2021,34189981,ris_doi_search,1,6,34189981,1,1.2
CD015898,Avdic 2016,2016,27481696,ris_citation_search,1,7,27481696,0,0.7
CD015898,Berger 2011,2011,21933858,ris_doi_search,1,91,21933858,1,6.07
CD015898,Bowman 2019,2019,30664281,ris_doi_search,1,15,30664281,1,2.14
CD015898,Byun 2023,2023,37235735,ris_citation_search,1,6,37235735,0,2.0
CD015898,Chantepie 2017,2017,27861958,ris_doi_search,1,11,27861958,0,1.22
CD015898,Chantepie 2023,2023,37080000,ris_doi_search,1,11,37080000,0,3.67
CD015898,Hamm 2021,2021,32652065,ris_doi_search,1,18,32652065,0,3.6
CD015898,Khodabux 2009,2009,19706136;21619675,ris_doi_search,2,16,19706136,0,0.94
CD015898,Lamarche 2019,2019,31059586,ris_doi_search,1,10,31059586,0,1.43
CD015898,Maitland 2019,2019,31365800,ris_doi_search,1,53,31365800,1,7.57
CD015898,Marco-Ayala 2024,2024,39383656,ris_doi_search,1,3,39383656,1,1.5
CD015898,Wong 2005,2005,16188753,ris_doi_search,1,13,16188753,0,0.62
CD015934,Akbarpour 2010,2010,,,0,,,,
CD015934,Brown 2021,2021,33950156;31212100,ris_doi_search,2,24,33950156,1,4.8
CD015934,Chan 2020,2020,32032137,ris_doi_search,1,5,32032137,0,0.83
CD015934,Chen 2013,2013,22729212,ris_doi_search,1,27,22729212,1,2.08
CD015934,Gelkopf 2012,2012,22297311,ris_doi_search,1,33,22297311,0,2.36
CD015934,Hickman 2015,2015,26180227,ris_doi_search,1,35,26180227,1,3.18
CD015934,Metse 2017,2017,28195010;27357297,ris_doi_search,2,44,28195010,1,4.89
CD015934,Prochaska 2014,2014,23948001,ris_doi_search,1,149,23948001,1,12.42
CD015934,Stockings 2014,2014,24939916;21762532,ris_doi_search,2,53,24939916,1,4.42
CD015934,Tavakoli-Ardakani 2023,2023,37565489,ris_doi_search,1,1,37565489,0,0.33
CD016085,Avidzba 2024,2024,,,0,,,,
CD016085,BP-TARGET,2021,33647246;36220337;35109685;35321558;36041869;34821437;32636793,ris_doi_search;ris_citation_search,7,136,33647246,0,27.2
CD016085,CLEVER,2026,41701757,ris_doi_search,1,1,41701757,0,1.0
CD016085,DETECT,2024,41584480,ris_citation_search,1,16,41584480,1,8.0
CD016085,ENCHANTED,2019,30739745;27161018;26283139;30299230;28739832;36820100;38228119;34512511;34153968;24008399;32702699;31822251;31432198;25832995;29705803;33031175;39717107;38873779;36044836;30078361;34702064;31812956;34389772;39258531;31846967;33536271;34706605;34096413;33011482;33069172;30961463;33526633,ris_doi_search;ris_citation_search,32,394,27161018,1,56.29
CD016085,ENCHANTED2/MT,2022,36341753;38873779;35924814,ris_doi_search,3,145,36341753,1,36.25
CD016085,IDENTIFY,2025,40538518;36329307;38873779,ris_doi_search,3,12,40538518,0,12.0
CD016085,OPTIMAL-BP,2023,37668619;39819210;39582235;34427481;38630474;38907672,ris_doi_search;ris_citation_search,6,149,37668619,1,49.67
CD016085,The BEST-II,2023,37668620,ris_doi_search,1,110,37668620,1,36.67
CD016104,AEGEAN,2023,37870974;34819266;39378863;40545237;37788643,ris_doi_search,5,546,37870974,1,182.0
CD016104,CCTG BR.31,2024,,,0,,,,
CD016104,CHECKMATE-77T,2024,38749033,ris_explicit_pmid,1,405,38749033,1,202.5
CD016104,CHECKMATE-816,2022,35403841;38098261;39778121;39900048;40454642,ris_doi_search;ris_explicit_pmid,5,2046,35403841,1,511.5
CD016104,IMPOWER-010,2021,34555333;37467930;36841745;40446184;36062851,ris_doi_search,5,1094,34555333,0,218.8
CD016104,KEYNOTE-671,2023,37272513;39288781,ris_doi_search;ris_explicit_pmid,2,760,37272513,1,253.33
CD016104,NADIM-II,2023,37379158,ris_doi_search,1,375,37379158,1,125.0
CD016104,NEOTORCH,2024,38227033,ris_doi_search,1,348,38227033,1,174.0
CD016104,PEARLS/ KEYNOTE-091,2022,36108662,ris_doi_search,1,541,36108662,0,135.25
CD016104,RATIONALE-315,2025,39581197,ris_doi_search,1,114,39581197,0,114.0
CD016104,TD-FOREKNOW,2023,37535377,ris_explicit_pmid,1,97,37535377,1,32.33
